Year,Month,DayofMonth,DayOfWeek,FlightDate,Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,TaxiIn,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,MonthName,IsDelayed,DelayCategory,SpeedMph,TotalGround
2024,2,17,6,2024-02-17,9E,ATL,"Atlanta, GA",GA,CHA,"Chattanooga, TN",TN,-4.0,0.0,0.0,16.0,3.0,-17.0,0.0,0.0,0.0,,0.0,58.0,45.0,26.0,106.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,244.62,19.0
2024,4,15,1,2024-04-15,9E,MCI,"Kansas City, MO",MO,LGA,"New York, NY",NY,-8.0,0.0,0.0,22.0,8.0,-23.0,0.0,0.0,0.0,,0.0,171.0,156.0,126.0,1107.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,527.14,30.0
2024,4,8,1,2024-04-08,DL,ATL,"Atlanta, GA",GA,ALB,"Albany, NY",NY,-1.0,0.0,0.0,18.0,5.0,0.0,0.0,0.0,0.0,,0.0,134.0,135.0,112.0,853.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,456.96,23.0
2024,2,8,4,2024-02-08,WN,STL,"St. Louis, MO",MO,MCI,"Kansas City, MO",MO,-9.0,0.0,0.0,8.0,3.0,-17.0,0.0,0.0,0.0,,0.0,65.0,57.0,46.0,237.0,1,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,309.13,11.0
2024,2,22,4,2024-02-22,OH,MSP,"Minneapolis, MN",MN,DCA,"Washington, DC",VA,-12.0,0.0,0.0,11.0,7.0,-32.0,0.0,0.0,0.0,,0.0,151.0,131.0,113.0,931.0,4,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,494.34,18.0
2024,4,2,2,2024-04-02,YX,MSY,"New Orleans, LA",LA,PHL,"Philadelphia, PA",PA,-1.0,0.0,0.0,13.0,8.0,-12.0,0.0,0.0,0.0,,0.0,168.0,157.0,136.0,1089.0,5,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,480.44,21.0
2024,2,16,5,2024-02-16,DL,DFW,"Dallas/Fort Worth, TX",TX,SLC,"Salt Lake City, UT",UT,0.0,0.0,0.0,26.0,10.0,18.0,18.0,1.0,0.0,,0.0,177.0,195.0,159.0,989.0,4,0.0,0.0,18.0,0.0,0.0,February,1,Moderate Delay,373.21,36.0
2024,2,27,2,2024-02-27,WN,BUR,"Burbank, CA",CA,SJC,"San Jose, CA",CA,-6.0,0.0,0.0,13.0,5.0,-11.0,0.0,0.0,0.0,,0.0,70.0,65.0,47.0,296.0,2,0.0,0.0,0.0,0.0,0.0,February,0,Early/OnTime,377.87,18.0
2024,3,30,6,2024-03-30,UA,EWR,"Newark, NJ",NJ,DEN,"Denver, CO",CO,9.0,9.0,0.0,36.0,6.0,16.0,16.0,1.0,0.0,,0.0,284.0,291.0,249.0,1605.0,7,9.0,0.0,7.0,0.0,0.0,February,1,Moderate Delay,386.75,42.0
2024,4,11,4,2024-04-11,WN,SAN,"San Diego, CA",CA,DAL,"Dallas, TX",TX,62.0,62.0,1.0,19.0,4.0,51.0,51.0,1.0,0.0,,0.0,175.0,164.0,141.0,1182.0,5,0.0,0.0,0.0,0.0,51.0,February,1,Moderate Delay,502.98,23.0
